# m=1, k=39.4784, p=3
# x0=0, v0=1
# t_start=0, t_end=15, h=0.001
#   t          x(t)               v(t)               KE(t)              PE(x(t)) 
2.3600  3.361634414646560e-01  -1.357829209083628e-02  9.218500805203357e-05  4.999078143166761e-01
2.3700  3.358047032871114e-01  -5.815348051138215e-02  1.690913647793852e-03  4.983090856769389e-01
2.3800  3.350008856460850e-01  -1.025745654882123e-01  5.260770742547774e-03  4.947392285821969e-01
2.3900  3.337541160650168e-01  -1.467244839423603e-01  1.076403709407597e-02  4.892359622306873e-01
2.4000  3.320676843789392e-01  -1.904879637589412e-01  1.814283216851385e-02  4.818571671562739e-01
2.4100  3.299460210465420e-01  -2.337522756418955e-01  2.732006318388234e-02  4.726799361409349e-01
2.4200  3.273946680705886e-01  -2.764079583260272e-01  3.820067971298140e-02  4.617993196118697e-01
2.4300  3.244202428302096e-01  -3.183495098092820e-01  5.067320519790507e-02  4.493267941269825e-01
2.4400  3.210303951993086e-01  -3.594760378181713e-01  6.461151088272565e-02  4.353884884421999e-01
2.4500  3.172337583900058e-01  -3.996918633717191e-01  7.987679282277847e-02  4.201232065021852e-01
2.4600  3.130398940177537e-01  -4.389070720497167e-01  9.631970894762759e-02  4.036802903773736e-01
2.4700  3.084592319346948e-01  -4.770380083831576e-01  1.137826307210848e-01  3.862173686039510e-01
2.4800  3.035030054193595e-01  -5.140077096510256e-01  1.321019627903465e-01  3.678980365347196e-01
2.4900  2.981831823434686e-01  -5.497462762699546e-01  1.511104841363407e-01  3.488895151887508e-01
2.5000  2.925123929601482e-01  -5.841911768832795e-01  1.706396655741356e-01  3.293603337509756e-01
2.5100  2.865038549721962e-01  -6.172874871755859e-01  1.905219209117746e-01  3.094780784133493e-01
2.5200  2.801712965442428e-01  -6.489880623406838e-01  2.105927525303577e-01  2.894072467947711e-01
2.5300  2.735288779189993e-01  -6.792536439988097e-01  2.306927564428309e-01  2.693072428822950e-01
2.5400  2.665911122856841e-01  -7.080529031781684e-01  2.506694568495164e-01  2.493305424755978e-01
2.5500  2.593727865287223e-01  -7.353624217338390e-01  2.703789456491283e-01  2.296210536759656e-01
2.5600  2.518888824575887e-01  -7.611666152628164e-01  2.896873080953262e-01  2.103126912297387e-01
2.5700  2.441544990849845e-01  -7.854576011790038e-01  3.084718216249375e-01  1.915281777000900e-01
2.5800  2.361847764812308e-01  -8.082350161300251e-01  3.266219206493510e-01  1.733780786756312e-01
2.5900  2.279948216887346e-01  -8.295057873648025e-01  3.440399256358505e-01  1.559600736890792e-01
2.6000  2.195996371325436e-01  -8.492838629952043e-01  3.606415399720285e-01  1.393584593528419e-01
2.6100  2.110140519122852e-01  -8.675899063370598e-01  3.763561227889741e-01  1.236438765358312e-01
2.6200  2.022526563081000e-01  -8.844509596677633e-01  3.911267500286137e-01  1.088732492961217e-01
2.6300  1.933297397794094e-01  -8.999000828036001e-01  4.049100795149632e-01  9.508991980969844e-02
2.6400  1.842592326813327e-01  -9.139759718853435e-01  4.176760385918791e-01  8.232396073270561e-02
2.6500  1.750546518700681e-01  -9.267225636723803e-01  4.294073550097545e-01  7.059264431475133e-02
2.6600  1.657290503162674e-01  -9.381886304913637e-01  4.400989531916303e-01  5.990104613279577e-02
